priority,variable_name,required_grain,reason,public_status,next_action,proxy_allowed,proxy,blocks_simulation
P0,UD 장애인/일반 운행·거리·매출·지원금,차량×호출/일,S0·수익 검증,비공개,정보공개청구,제한,12대+가정,Y
P0,월 100건 세부 상태전이,운영지침,S0 정확재현,비공개,지침/협약 요청,N,,Y
P0,콜택시 호출·배차·대기 로그,호출×시각×지역,평균/P95·공간수요,API/비공개,API신청+청구,제한,일별집계+도착률,Y
P0,UD 보조금·인센티브 산식,정산규칙,주체별 손익,비공개,협약/정산지침,N,,Y(재정)
P1,fleet 차종×연식×연료·특장연비,차량,ICE 비용·탄소,비공개,자산대장 요청,Y,기본차 연비 민감도,Y(차종)
P1,UD SOC·충전로그,충전세션,충전·가용성,비공개,BMS/충전사 로그,Y,10→80% 30분,N
P1,서울 호환 충전소 레코드,충전기,접근·수용량,파일 장애,재다운로드/API,N,,Y
P1,일반택시 시간×지역 매출·공차,시간×요일×지역,기회비용,비공개/부분,운행자료 요청,Y,요금함수+생활인구,Y
P1,서울 LPG 최근 12개월,월,ICE 원/km,대화형 미추출,오피넷 재조회,N,,Y
P2,민간/완속 사업자별 전기요금,사업자×출력×시간,실충전비,부분,요금표 수집,Y,환경부 급속,N
